"District","Thana","EIIN","College Name","Shift","Version","Group Name","Gender","Min GPA","Own GPA","Available Seat"
"Jamalpur","Bakshiganj","138098","Alhaz Gazi Amanuzzaman Modern College","Day","Bangla","Humanities","Co-Edu","1.00","0.00","325"
"Jamalpur","Bakshiganj","138098","Alhaz Gazi Amanuzzaman Modern College","Day","Bangla","Business Studies","Co-Edu","1.00","0.00","75"
"Jamalpur","Bakshiganj","138098","Alhaz Gazi Amanuzzaman Modern College","Day","Bangla","Science","Co-Edu","1.00","0.00","100"
"Jamalpur","Bakshiganj","109693","Chandrabaz Rashida Begum School And College","Day","Bangla","Humanities","Co-Edu","1.00","1.00","75"
"Jamalpur","Bakshiganj","109693","Chandrabaz Rashida Begum School And College","Day","Bangla","Business Studies","Co-Edu","1.00","1.00","75"
"Jamalpur","Bakshiganj","137089","Farajipara Model College","Day","Bangla","Science","Co-Edu","1.00","0.00","50"
"Jamalpur","Bakshiganj","137089","Farajipara Model College","Day","Bangla","Business Studies","Co-Edu","1.00","0.00","50"
"Jamalpur","Bakshiganj","137089","Farajipara Model College","Day","Bangla","Humanities","Co-Edu","1.00","0.00","50"
"Jamalpur","Bakshiganj","109725","Govt. Bakshiganj Kiamat Ullah College","Day","Bangla","Humanities","Co-Edu","1.00","0.00","410"
"Jamalpur","Bakshiganj","109725","Govt. Bakshiganj Kiamat Ullah College","Day","Bangla","Science","Co-Edu","2.00","0.00","200"
"Jamalpur","Bakshiganj","109725","Govt. Bakshiganj Kiamat Ullah College","Day","Bangla","Business Studies","Co-Edu","1.00","0.00","200"
"Jamalpur","Bakshiganj","109724","Khatemon Main Mahila College  Bakshigonj","Day","Bangla","Business Studies","Female","1.00","0.00","50"
"Jamalpur","Bakshiganj","109724","Khatemon Main Mahila College  Bakshigonj","Day","Bangla","Humanities","Female","1.00","0.00","230"
"Jamalpur","Bakshiganj","109724","Khatemon Main Mahila College  Bakshigonj","Day","Bangla","Science","Female","1.00","0.00","50"
"Jamalpur","Bakshiganj","109726","Nilakhia Public College","Day","Bangla","Business Studies","Co-Edu","1.00","0.00","50"
"Jamalpur","Bakshiganj","109726","Nilakhia Public College","Day","Bangla","Humanities","Co-Edu","1.00","0.00","150"
"Jamalpur","Bakshiganj","109726","Nilakhia Public College","Day","Bangla","Science","Co-Edu","1.00","0.00","50"
"Jamalpur","Bakshiganj","109699","Rahila Kadir School And College","Day","Bangla","Business Studies","Co-Edu","1.00","1.00","50"
"Jamalpur","Bakshiganj","109699","Rahila Kadir School And College","Day","Bangla","Science","Co-Edu","1.00","1.00","50"
"Jamalpur","Bakshiganj","109699","Rahila Kadir School And College","Day","Bangla","Humanities","Co-Edu","1.00","1.00","50"
"Jamalpur","Dewanganj","137030","Abdul Momin Lal Miah Mohila College","Day","Bangla","Humanities","Female","1.00","0.00","50"
"Jamalpur","Dewanganj","137030","Abdul Momin Lal Miah Mohila College","Day","Bangla","Business Studies","Female","1.00","0.00","50"
"Jamalpur","Dewanganj","136903","Alhaj Helaluddin Nurunnahar Memorial College","Day","Bangla","Humanities","Co-Edu","1.00","0.00","160"
"Jamalpur","Dewanganj","136903","Alhaj Helaluddin Nurunnahar Memorial College","Day","Bangla","Science","Co-Edu","1.00","0.00","100"
"Jamalpur","Dewanganj","136903","Alhaj Helaluddin Nurunnahar Memorial College","Day","Bangla","Business Studies","Co-Edu","1.00","0.00","50"
"Jamalpur","Dewanganj","137666","Bagharchar College","Day","Bangla","Science","Co-Edu","1.00","0.00","100"
"Jamalpur","Dewanganj","137666","Bagharchar College","Day","Bangla","Business Studies","Co-Edu","1.00","0.00","100"
"Jamalpur","Dewanganj","137666","Bagharchar College","Day","Bangla","Humanities","Co-Edu","1.00","0.00","100"
"Jamalpur","Dewanganj","134618","Engineer Fazlur Rahman Mohila College","Day","Bangla","Humanities","Female","1.00","0.00","100"
"Jamalpur","Dewanganj","134618","Engineer Fazlur Rahman Mohila College","Day","Bangla","Business Studies","Female","1.00","0.00","50"
"Jamalpur","Dewanganj","134618","Engineer Fazlur Rahman Mohila College","Day","Bangla","Science","Female","1.00","0.00","50"
"Jamalpur","Dewanganj","137669","Estiak Hossain Dider Womens College","Day","Bangla","Science","Female","1.00","0.00","100"
"Jamalpur","Dewanganj","137669","Estiak Hossain Dider Womens College","Day","Bangla","Business Studies","Female","1.00","0.00","100"
"","","","","","","","","","",""
"Jamalpur","Dewanganj","137669","Estiak Hossain Dider Womens College","Day","Bangla","Humanities","Female","1.00","0.00","100"
"Jamalpur","Dewanganj","136864","Gazi Nasir Uddin Memorial College","Day","Bangla","Business Studies","Co-Edu","1.00","0.00","50"
"Jamalpur","Dewanganj","136864","Gazi Nasir Uddin Memorial College","Day","Bangla","Science","Co-Edu","1.00","0.00","50"
"Jamalpur","Dewanganj","136864","Gazi Nasir Uddin Memorial College","Day","Bangla","Humanities","Co-Edu","1.00","0.00","100"
"Jamalpur","Dewanganj","109776","Govt. A. K. Memorial College","Day","Bangla","Business Studies","Co-Edu","2.50","0.00","200"
"Jamalpur","Dewanganj","109776","Govt. A. K. Memorial College","Day","Bangla","Humanities","Co-Edu","2.50","0.00","460"
"Jamalpur","Dewanganj","109776","Govt. A. K. Memorial College","Day","Bangla","Science","Co-Edu","3.00","0.00","210"
"Jamalpur","Dewanganj","109778","M.M. Memorial College","Day","Bangla","Humanities","Co-Edu","1.00","0.00","460"
"Jamalpur","Dewanganj","109778","M.M. Memorial College","Day","Bangla","Business Studies","Co-Edu","1.00","0.00","60"
"Jamalpur","Dewanganj","109778","M.M. Memorial College","Day","Bangla","Science","Co-Edu","1.00","0.00","200"
"Jamalpur","Dewanganj","137614","Sahjadpur Abdul Wahed Ashraf Ali Memorial College","Day","Bangla","Humanities","Co-Edu","1.00","0.00","100"
"Jamalpur","Dewanganj","137614","Sahjadpur Abdul Wahed Ashraf Ali Memorial College","Day","Bangla","Business Studies","Co-Edu","1.00","0.00","50"
"Jamalpur","Dewanganj","137614","Sahjadpur Abdul Wahed Ashraf Ali Memorial College","Day","Bangla","Science","Co-Edu","1.00","0.00","50"
"Jamalpur","Dewanganj","109777","Sanandabari College","Day","Bangla","Business Studies","Co-Edu","1.00","0.00","50"
"Jamalpur","Dewanganj","109777","Sanandabari College","Day","Bangla","Science","Co-Edu","3.00","0.00","150"
"Jamalpur","Dewanganj","109777","Sanandabari College","Day","Bangla","Humanities","Co-Edu","2.50","0.00","550"
"Jamalpur","Islampur","109791","Belgacha Higher Secondary School & B. M. College","Day","Bangla","Science","Co-Edu","1.00","1.00","50"
"Jamalpur","Islampur","109791","Belgacha Higher Secondary School & B. M. College","Day","Bangla","Humanities","Co-Edu","1.00","1.00","50"
"Jamalpur","Islampur","109791","Belgacha Higher Secondary School & B. M. College","Day","Bangla","Business Studies","Co-Edu","1.00","1.00","50"
"Jamalpur","Islampur","109857","Govt. Islampur College","Day","Bangla","Science","Co-Edu","3.00","0.00","125"
"Jamalpur","Islampur","109857","Govt. Islampur College","Day","Bangla","Humanities","Co-Edu","2.50","0.00","240"
"Jamalpur","Islampur","109857","Govt. Islampur College","Day","Bangla","Business Studies","Co-Edu","2.50","0.00","250"
"Jamalpur","Islampur","109860","Guthail High School & College","Day","Bangla","Humanities","Co-Edu","1.00","1.00","85"
"Jamalpur","Islampur","109860","Guthail High School & College","Day","Bangla","Science","Co-Edu","1.00","0.00","65"
"Jamalpur","Islampur","109860","Guthail High School & College","Day","Bangla","Business Studies","Co-Edu","1.00","1.00","65"
"Jamalpur","Islampur","109859","Islampur J. J. K. M. Girls High School & College","Day","Bangla","Science","Female","2.00","1.00","50"
"Jamalpur","Islampur","109859","Islampur J. J. K. M. Girls High School & College","Day","Bangla","Humanities","Female","1.50","1.00","190"
"Jamalpur","Islampur","109859","Islampur J. J. K. M. Girls High School & College","Day","Bangla","Business Studies","Female","1.50","1.00","60"
"Jamalpur","Islampur","109855","Islampur M. A. Samad Pervez Memorial Mohila College","Day","Bangla","Business Studies","Female","1.00","0.00","65"
"Jamalpur","Islampur","109855","Islampur M. A. Samad Pervez Memorial Mohila College","Day","Bangla","Humanities","Female","1.00","0.00","160"
"Jamalpur","Islampur","109855","Islampur M. A. Samad Pervez Memorial Mohila College","Day","Bangla","Science","Female","1.00","0.00","50"
"Jamalpur","Islampur","109856","Malamgonj Model College  Islampur","Day","Bangla","Science","Co-Edu","1.00","0.00","50"
"Jamalpur","Islampur","109856","Malamgonj Model College  Islampur","Day","Bangla","Business Studies","Co-Edu","1.00","0.00","60"
"Jamalpur","Islampur","109856","Malamgonj Model College  Islampur","Day","Bangla","Humanities","Co-Edu","1.00","0.00","140"
"Jamalpur","Islampur","109806","No. 04 Char High School And College","Day","Bangla","Humanities","Co-Edu","1.00","1.00","50"
"Jamalpur","Islampur","109806","No. 04 Char High School And College","Day","Bangla","Science","Co-Edu","1.00","1.00","50"
"Jamalpur","Islampur","109806","No. 04 Char High School And College","Day","Bangla","Business Studies","Co-Edu","1.00","1.00","50"
"Jamalpur","Islampur","109810","Shaheed Maj Gen Khaled Musharaf Bir Uttom Girls High School & College","Day","Bangla","Humanities","Female","1.00","1.00","100"
"Jamalpur","Islampur","109810","Shaheed Maj Gen Khaled Musharaf Bir Uttom Girls High School & College","Day","Bangla","Business Studies","Female","1.00","1.00","50"
"Jamalpur","Islampur","109810","Shaheed Maj Gen Khaled Musharaf Bir Uttom Girls High School & College","Day","Bangla","Science","Female","1.00","1.00","100"
"Jamalpur","Islampur","137607","Shavarchar College","Morning","Bangla","Business Studies","Co-Edu","1.00","0.00","50"
"Jamalpur","Islampur","137607","Shavarchar College","Morning","Bangla","Humanities","Co-Edu","1.00","0.00","50"
"Jamalpur","Islampur","137607","Shavarchar College","Morning","Bangla","Science","Co-Edu","1.00","0.00","50"
"Jamalpur","Jamalpur Sadar","109944","Abdul Hamid Khan High School And College","Day","Bangla","Business Studies","Co-Edu","1.00","1.00","50"
"Jamalpur","Jamalpur Sadar","109944","Abdul Hamid Khan High School And College","Day","Bangla","Science","Co-Edu","1.00","1.00","50"
"Jamalpur","Jamalpur Sadar","109944","Abdul Hamid Khan High School And College","Day","Bangla","Humanities","Co-Edu","1.00","1.00","100"
"Jamalpur","Jamalpur Sadar","134148","Bangabandhu Ideal School and College","Day","Bangla","Science","Co-Edu","3.00","0.00","80"
"Jamalpur","Jamalpur Sadar","134148","Bangabandhu Ideal School and College","Day","Bangla","Business Studies","Co-Edu","2.00","0.00","50"
"Jamalpur","Jamalpur Sadar","134148","Bangabandhu Ideal School and College","Day","Bangla","Humanities","Co-Edu","2.00","0.00","100"
"Jamalpur","Jamalpur Sadar","109997","Digpait Shamsul Haq College","Day","Bangla","Business Studies","Co-Edu","1.00","0.00","300"
"Jamalpur","Jamalpur Sadar","109997","Digpait Shamsul Haq College","Day","Bangla","Humanities","Co-Edu","1.00","0.00","350"
"Jamalpur","Jamalpur Sadar","109997","Digpait Shamsul Haq College","Day","Bangla","Science","Co-Edu","1.00","0.00","100"
"Jamalpur","Jamalpur Sadar","110000","Dr. Abdul Mazid Talukder College","Day","Bangla","Business Studies","Co-Edu","2.50","0.00","200"
"Jamalpur","Jamalpur Sadar","110000","Dr. Abdul Mazid Talukder College","Day","Bangla","Humanities","Co-Edu","2.50","0.00","150"
"Jamalpur","Jamalpur Sadar","110000","Dr. Abdul Mazid Talukder College","Day","Bangla","Science","Co-Edu","3.50","0.00","100"
"Jamalpur","Jamalpur Sadar","134598","Fundamental Modernism Ideal College","Day","Bangla","Humanities","Co-Edu","2.50","0.00","50"
"Jamalpur","Jamalpur Sadar","134598","Fundamental Modernism Ideal College","Day","Bangla","Business Studies","Co-Edu","2.50","0.00","50"
"Jamalpur","Jamalpur Sadar","134598","Fundamental Modernism Ideal College","Day","Bangla","Science","Co-Edu","3.00","0.00","50"
"Jamalpur","Jamalpur Sadar","109996","Govt. Ashek Mahmud College","Day","Bangla","Science","Co-Edu","4.50","0.00","401"
"Jamalpur","Jamalpur Sadar","109996","Govt. Ashek Mahmud College","Day","Bangla","Humanities","Co-Edu","3.75","0.00","400"
"Jamalpur","Jamalpur Sadar","109996","Govt. Ashek Mahmud College","Day","Bangla","Business Studies","Co-Edu","3.75","0.00","400"
"Jamalpur","Jamalpur Sadar","109994","Govt. Zaheda Safir Mohila College","Day","Bangla","Science","Female","4.00","0.00","310"
"Jamalpur","Jamalpur Sadar","109994","Govt. Zaheda Safir Mohila College","Day","Bangla","Humanities","Female","3.50","0.00","610"
"Jamalpur","Jamalpur Sadar","109994","Govt. Zaheda Safir Mohila College","Day","Bangla","Business Studies","Female","3.50","0.00","300"
"Jamalpur","Jamalpur Sadar","132054","Hashil Higher Secondary School","Day","Bangla","Science","Co-Edu","1.00","1.00","100"
"Jamalpur","Jamalpur Sadar","132054","Hashil Higher Secondary School","Day","Bangla","Business Studies","Co-Edu","1.00","1.00","100"
"Jamalpur","Jamalpur Sadar","132054","Hashil Higher Secondary School","Day","Bangla","Humanities","Co-Edu","1.00","1.00","100"
"Jamalpur","Jamalpur Sadar","109938","Hazrat Sahjamal (R:) School And College","Day","Bangla","Humanities","Co-Edu","1.00","1.00","100"
"Jamalpur","Jamalpur Sadar","109938","Hazrat Sahjamal (R:) School And College","Day","Bangla","Business Studies","Co-Edu","1.00","1.00","100"
"Jamalpur","Jamalpur Sadar","135263","Jamalpur Commerce College","Day","Bangla","Business Studies","Co-Edu","1.00","0.00","100"
"Jamalpur","Jamalpur Sadar","135952","Jamalpur Residential Model College","Day","Bangla","Science","Co-Edu","3.00","0.00","100"
"Jamalpur","Jamalpur Sadar","135952","Jamalpur Residential Model College","Day","Bangla","Business Studies","Co-Edu","2.00","0.00","50"
"Jamalpur","Jamalpur Sadar","135952","Jamalpur Residential Model College","Day","Bangla","Humanities","Co-Edu","2.00","0.00","100"
"Jamalpur","Jamalpur Sadar","109992","Jhaola Gopalpur College","Day","Bangla","Humanities","Co-Edu","2.50","0.00","260"
"Jamalpur","Jamalpur Sadar","109992","Jhaola Gopalpur College","Day","Bangla","Science","Co-Edu","2.80","0.00","50"
"Jamalpur","Jamalpur Sadar","109992","Jhaola Gopalpur College","Day","Bangla","Business Studies","Co-Edu","2.50","0.00","150"
"Jamalpur","Jamalpur Sadar","109993","Jinnaton Afsor Mohila College  Narundi","Day","Bangla","Humanities","Female","1.50","0.00","120"
"Jamalpur","Jamalpur Sadar","109993","Jinnaton Afsor Mohila College  Narundi","Day","Bangla","Science","Female","2.00","0.00","50"
"Jamalpur","Jamalpur Sadar","109993","Jinnaton Afsor Mohila College  Narundi","Day","Bangla","Business Studies","Female","1.50","0.00","60"
"Jamalpur","Jamalpur Sadar","136734","Mirzapur Rahim Sarker College","Day","Bangla","Business Studies","Co-Edu","1.00","0.00","100"
"Jamalpur","Jamalpur Sadar","136734","Mirzapur Rahim Sarker College","Day","Bangla","Science","Co-Edu","3.00","0.00","100"
"Jamalpur","Jamalpur Sadar","136734","Mirzapur Rahim Sarker College","Day","Bangla","Humanities","Co-Edu","1.00","0.00","100"
"Jamalpur","Jamalpur Sadar","109880","Nandina Nekjahan GirlS High School And College","Day","Bangla","Humanities","Female","1.50","1.00","280"
"Jamalpur","Jamalpur Sadar","109880","Nandina Nekjahan GirlS High School And College","Day","Bangla","Business Studies","Female","1.50","1.00","100"
"Jamalpur","Jamalpur Sadar","109880","Nandina Nekjahan GirlS High School And College","Day","Bangla","Science","Female","2.00","1.00","50"
"Jamalpur","Jamalpur Sadar","109991","Nandina Shaikh Anwar Hossain College","Day","Bangla","Science","Co-Edu","2.00","0.00","150"
"Jamalpur","Jamalpur Sadar","109991","Nandina Shaikh Anwar Hossain College","Day","Bangla","Humanities","Co-Edu","2.00","0.00","570"
"Jamalpur","Jamalpur Sadar","109991","Nandina Shaikh Anwar Hossain College","Day","Bangla","Business Studies","Co-Edu","2.00","0.00","500"
"Jamalpur","Jamalpur Sadar","110001","Narundi School And College","Day","Bangla","Science","Co-Edu","1.00","1.00","100"
"Jamalpur","Jamalpur Sadar","110001","Narundi School And College","Day","Bangla","Business Studies","Co-Edu","1.00","1.00","100"
"Jamalpur","Jamalpur Sadar","110001","Narundi School And College","Day","Bangla","Humanities","Co-Edu","1.00","1.00","225"
"Jamalpur","Jamalpur Sadar","138810","PROSHANTI BIGGAN COLLEGE","Day","Bangla","Humanities","Co-Edu","2.00","0.00","100"
"Jamalpur","Jamalpur Sadar","138810","PROSHANTI BIGGAN COLLEGE","Day","Bangla","Business Studies","Co-Edu","2.00","0.00","50"
"Jamalpur","Jamalpur Sadar","138810","PROSHANTI BIGGAN COLLEGE","Day","Bangla","Science","Co-Edu","3.00","0.00","100"
"Jamalpur","Jamalpur Sadar","110002","Pearpur M. S. K. High School & College","Day","Bangla","Science","Co-Edu","3.00","1.00","50"
"Jamalpur","Jamalpur Sadar","110002","Pearpur M. S. K. High School & College","Day","Bangla","Business Studies","Co-Edu","2.00","1.00","130"
"Jamalpur","Jamalpur Sadar","110002","Pearpur M. S. K. High School & College","Day","Bangla","Humanities","Co-Edu","2.00","1.00","225"
"Jamalpur","Jamalpur Sadar","109868","Rahima Mozaffar Ideal Girls School And College","Day","Bangla","Humanities","Female","1.00","1.00","170"
"Jamalpur","Jamalpur Sadar","109868","Rahima Mozaffar Ideal Girls School And College","Day","Bangla","Science","Female","1.00","1.00","70"
"Jamalpur","Jamalpur Sadar","109868","Rahima Mozaffar Ideal Girls School And College","Day","Bangla","Business Studies","Female","1.00","1.00","120"
"Jamalpur","Jamalpur Sadar","109905","SREEPUR KUMARIA NASUBA HAKIM GIRLS SCHOOL AND COLLEGE","Day","Bangla","Science","Co-Edu","1.00","0.00","50"
"Jamalpur","Jamalpur Sadar","109905","SREEPUR KUMARIA NASUBA HAKIM GIRLS SCHOOL AND COLLEGE","Day","Bangla","Humanities","Co-Edu","1.00","0.00","120"
"Jamalpur","Jamalpur Sadar","109905","SREEPUR KUMARIA NASUBA HAKIM GIRLS SCHOOL AND COLLEGE","Day","Bangla","Business Studies","Co-Edu","1.00","0.00","60"
"Jamalpur","Jamalpur Sadar","109995","Shahid Ziaur Rahman College","Day","Bangla","Business Studies","Co-Edu","2.00","0.00","150"
"Jamalpur","Jamalpur Sadar","109995","Shahid Ziaur Rahman College","Day","Bangla","Humanities","Co-Edu","2.00","0.00","150"
"Jamalpur","Jamalpur Sadar","109995","Shahid Ziaur Rahman College","Day","Bangla","Science","Co-Edu","2.50","0.00","50"
"Jamalpur","Jamalpur Sadar","135310","Srepur Kumaria M. H. College","Day","Bangla","Science","Co-Edu","2.00","0.00","100"
"Jamalpur","Jamalpur Sadar","135310","Srepur Kumaria M. H. College","Day","Bangla","Humanities","Co-Edu","2.00","0.00","140"
"Jamalpur","Jamalpur Sadar","135310","Srepur Kumaria M. H. College","Day","Bangla","Business Studies","Co-Edu","2.00","0.00","110"
"Jamalpur","Jamalpur Sadar","109999","Tulshipur College","Day","Bangla","Science","Co-Edu","1.00","0.00","70"
"Jamalpur","Jamalpur Sadar","109999","Tulshipur College","Day","Bangla","Business Studies","Co-Edu","1.00","0.00","200"
"Jamalpur","Jamalpur Sadar","109999","Tulshipur College","Day","Bangla","Humanities","Co-Edu","1.00","0.00","350"
"Jamalpur","Jamalpur Sadar","137608","Wisdom Central College","Day","Bangla","Humanities","Co-Edu","1.00","0.00","100"
"Jamalpur","Jamalpur Sadar","137608","Wisdom Central College","Day","Bangla","Business Studies","Co-Edu","1.00","0.00","100"
"Jamalpur","Jamalpur Sadar","137608","Wisdom Central College","Day","Bangla","Science","Co-Edu","1.00","0.00","100"
"Jamalpur","Madarganj","110076","Govt. Madarganj A. H. Z. College","Day","Bangla","Humanities","Co-Edu","2.50","0.00","275"
"Jamalpur","Madarganj","110076","Govt. Madarganj A. H. Z. College","Day","Bangla","Science","Co-Edu","3.50","0.00","100"
"Jamalpur","Madarganj","110076","Govt. Madarganj A. H. Z. College","Day","Bangla","Business Studies","Co-Edu","2.50","0.00","150"
"Jamalpur","Madarganj","110079","Khawja Shah Sufi Yunus Ali College","Day","Bangla","Science","Co-Edu","1.00","0.00","50"
"Jamalpur","Madarganj","110079","Khawja Shah Sufi Yunus Ali College","Day","Bangla","Business Studies","Co-Edu","1.00","0.00","100"
"Jamalpur","Madarganj","110079","Khawja Shah Sufi Yunus Ali College","Day","Bangla","Humanities","Co-Edu","1.00","0.00","200"
"Jamalpur","Madarganj","110078","Mirza Azam College","Day","Bangla","Humanities","Co-Edu","2.00","0.00","350"
"Jamalpur","Madarganj","110078","Mirza Azam College","Day","Bangla","Business Studies","Co-Edu","2.00","0.00","100"
"Jamalpur","Madarganj","110078","Mirza Azam College","Day","Bangla","Science","Co-Edu","2.00","0.00","50"
"Jamalpur","Madarganj","110004","Nabbachar High School And College","Day","Bangla","Business Studies","Co-Edu","1.00","1.00","100"
"Jamalpur","Madarganj","110004","Nabbachar High School And College","Day","Bangla","Humanities","Co-Edu","1.00","1.00","100"
"Jamalpur","Madarganj","110004","Nabbachar High School And College","Day","Bangla","Science","Co-Edu","1.00","1.00","100"
"Jamalpur","Madarganj","110077","Nurunnahar  Mirza Kasem Mohila College","Day","Bangla","Science","Female","3.00","0.00","50"
"Jamalpur","Madarganj","110077","Nurunnahar  Mirza Kasem Mohila College","Day","Bangla","Business Studies","Female","2.50","0.00","50"
"Jamalpur","Madarganj","110077","Nurunnahar  Mirza Kasem Mohila College","Day","Bangla","Humanities","Female","2.00","0.00","200"
"Jamalpur","Melandaha","110147","Aleya Azam College","Day","Bangla","Science","Co-Edu","2.00","0.00","50"
"Jamalpur","Melandaha","110147","Aleya Azam College","Day","Bangla","Business Studies","Co-Edu","1.00","0.00","80"
"Jamalpur","Melandaha","110147","Aleya Azam College","Day","Bangla","Humanities","Co-Edu","1.00","0.00","100"
"Jamalpur","Melandaha","110146","Bangabandhu Govt. College  Jhawgara","Day","Bangla","Science","Co-Edu","3.00","0.00","75"
"Jamalpur","Melandaha","110146","Bangabandhu Govt. College  Jhawgara","Day","Bangla","Humanities","Co-Edu","1.00","0.00","390"
"Jamalpur","Melandaha","110146","Bangabandhu Govt. College  Jhawgara","Day","Bangla","Business Studies","Co-Edu","2.00","0.00","75"
"Jamalpur","Melandaha","110152","Habibur Rahman College  Mahmudpur","Day","Bangla","Humanities","Co-Edu","1.80","0.00","125"
"Jamalpur","Melandaha","110152","Habibur Rahman College  Mahmudpur","Day","Bangla","Science","Co-Edu","2.50","0.00","50"
"Jamalpur","Melandaha","110152","Habibur Rahman College  Mahmudpur","Day","Bangla","Business Studies","Co-Edu","1.80","0.00","60"
"Jamalpur","Melandaha","110151","Hazrabari Sirajul Haq College","Day","Bangla","Science","Co-Edu","2.00","0.00","100"
"Jamalpur","Melandaha","110151","Hazrabari Sirajul Haq College","Day","Bangla","Humanities","Co-Edu","2.00","0.00","410"
"Jamalpur","Melandaha","110151","Hazrabari Sirajul Haq College","Day","Bangla","Business Studies","Co-Edu","2.00","0.00","225"
"Jamalpur","Melandaha","110149","Jahanara Latif Mohila College","Day","Bangla","Science","Female","2.00","0.00","50"
"Jamalpur","Melandaha","110149","Jahanara Latif Mohila College","Day","Bangla","Business Studies","Female","1.50","0.00","75"
"Jamalpur","Melandaha","110149","Jahanara Latif Mohila College","Day","Bangla","Humanities","Female","1.00","0.00","300"
"Jamalpur","Melandaha","110150","Melandah Govt. College","Day","Bangla","Science","Co-Edu","1.00","0.00","150"
"Jamalpur","Melandaha","110150","Melandah Govt. College","Day","Bangla","Business Studies","Co-Edu","1.00","0.00","120"
"Jamalpur","Melandaha","110150","Melandah Govt. College","Day","Bangla","Humanities","Co-Edu","1.00","0.00","200"
"Jamalpur","Melandaha","131967","S. M. Shikha Mukhlesur Rahman College  Melandah","Day","Bangla","Science","Co-Edu","1.00","0.00","60"
"Jamalpur","Melandaha","131967","S. M. Shikha Mukhlesur Rahman College  Melandah","Day","Bangla","Humanities","Co-Edu","1.00","0.00","60"
"Jamalpur","Melandaha","131967","S. M. Shikha Mukhlesur Rahman College  Melandah","Day","Bangla","Business Studies","Co-Edu","1.00","0.00","60"
"Jamalpur","Melandaha","110148","Shaikh Kamal Govt. College","Day","Bangla","Humanities","Co-Edu","1.00","0.00","100"
"Jamalpur","Melandaha","110148","Shaikh Kamal Govt. College","Day","Bangla","Science","Co-Edu","1.00","0.00","50"
"Jamalpur","Melandaha","110148","Shaikh Kamal Govt. College","Day","Bangla","Business Studies","Co-Edu","1.00","0.00","60"
"Jamalpur","Melandaha","130838","Shehata Gamiz Uddin High School And College","Day","Bangla","Science","Co-Edu","1.00","1.00","100"
"Jamalpur","Melandaha","130838","Shehata Gamiz Uddin High School And College","Day","Bangla","Humanities","Co-Edu","1.00","1.00","100"
"Jamalpur","Melandaha","130838","Shehata Gamiz Uddin High School And College","Day","Bangla","Business Studies","Co-Edu","1.00","1.00","100"
"Jamalpur","Sarishabari","134613","Advocate Motior Rahman Talukder College","Day","Bangla","Humanities","Co-Edu","1.00","0.00","130"
"Jamalpur","Sarishabari","134613","Advocate Motior Rahman Talukder College","Day","Bangla","Science","Co-Edu","1.00","0.00","50"
"Jamalpur","Sarishabari","134613","Advocate Motior Rahman Talukder College","Day","Bangla","Business Studies","Co-Edu","1.00","0.00","50"
"Jamalpur","Sarishabari","110169","Bausi Bangali High School And College","Day","Bangla","Science","Co-Edu","1.00","1.00","50"
"Jamalpur","Sarishabari","110169","Bausi Bangali High School And College","Day","Bangla","Humanities","Co-Edu","1.00","1.00","100"
"Jamalpur","Sarishabari","110169","Bausi Bangali High School And College","Day","Bangla","Business Studies","Co-Edu","1.00","1.00","100"
"Jamalpur","Sarishabari","110225","Bhatara Uchcha Madhyamik Bidyalaya","Day","Bangla","Science","Co-Edu","2.50","1.00","100"
"Jamalpur","Sarishabari","110225","Bhatara Uchcha Madhyamik Bidyalaya","Day","Bangla","Business Studies","Co-Edu","1.00","1.00","150"
"Jamalpur","Sarishabari","110225","Bhatara Uchcha Madhyamik Bidyalaya","Day","Bangla","Humanities","Co-Edu","1.00","1.00","300"
"Jamalpur","Sarishabari","110216","Govt. Bangabandhu College","Day","Bangla","Humanities","Co-Edu","1.00","0.00","175"
"Jamalpur","Sarishabari","110216","Govt. Bangabandhu College","Day","Bangla","Science","Co-Edu","2.00","0.00","70"
"Jamalpur","Sarishabari","110216","Govt. Bangabandhu College","Day","Bangla","Business Studies","Co-Edu","1.00","0.00","80"
"Jamalpur","Sarishabari","110224","Jamuna Sar Karkhana Uchcha Madhyamic Bidhyalaya","Day","Bangla","Science","Co-Edu","1.00","1.00","75"
"Jamalpur","Sarishabari","110224","Jamuna Sar Karkhana Uchcha Madhyamic Bidhyalaya","Day","Bangla","Business Studies","Co-Edu","1.00","1.00","60"
"Jamalpur","Sarishabari","110224","Jamuna Sar Karkhana Uchcha Madhyamic Bidhyalaya","Day","Bangla","Humanities","Co-Edu","1.00","1.00","60"
"Jamalpur","Sarishabari","110218","Pogaldiga College  Jamalpur","Day","Bangla","Business Studies","Co-Edu","1.00","0.00","85"
"Jamalpur","Sarishabari","110218","Pogaldiga College  Jamalpur","Day","Bangla","Humanities","Co-Edu","1.00","0.00","175"
"Jamalpur","Sarishabari","110218","Pogaldiga College  Jamalpur","Day","Bangla","Science","Co-Edu","1.00","0.00","50"
"Jamalpur","Sarishabari","110215","Sarishabari College","Day","Bangla","Humanities","Co-Edu","2.00","0.00","350"
"Jamalpur","Sarishabari","110215","Sarishabari College","Day","Bangla","Science","Co-Edu","3.50","0.00","130"
"Jamalpur","Sarishabari","110215","Sarishabari College","Day","Bangla","Business Studies","Co-Edu","2.50","0.00","110"
"Jamalpur","Sarishabari","110222","Sarishabari Govt. Pilot Uchcha Madhyamik Balika Bidyalaya (School & College)","Day","Bangla","Business Studies","Female","1.00","1.00","60"
